Process Hacker 3.0.4365
Windows NT 10.0 (64-bit)
上午 1:42:03 2021/10/16 周六

"Name","PID","CPU","I/O total rate","Private bytes","Working set","Description","Company name","User name","File name","Command line","Package name"
"      StartMenuExperienceHost.exe","11032","","","107.22 MB","73.34 MB","","","DESKTOP-83L081J\krysl","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","""C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"" -ServerName:App.AppXywbrabmsek0gm3tkwpr5kwzbs55tkqay.mca","Microsoft.Windows.StartMenuExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"      RuntimeBroker.exe","11256","","","7.97 MB","27.07 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","Microsoft.Windows.StartMenuExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"      SearchApp.exe","10792","","","153.07 MB","82.96 MB","Search application","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","""C:\WINDOWS\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe"" -ServerName:CortanaUI.AppX8z9r6jm96hw4bsbneegw0kyxx296wr9t.mca","Microsoft.Windows.Search_1.14.2.19041_neutral_neutral_cw5n1h2txyewy"
"      RuntimeBroker.exe","10204","","","8.21 MB","27.82 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","Microsoft.Windows.Search_1.14.2.19041_neutral_neutral_cw5n1h2txyewy"
"      ShellExperienceHost.exe","8728","","","90.27 MB","61.75 MB","Windows Shell Experience Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","""C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca","Microsoft.Windows.ShellExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"      RuntimeBroker.exe","12804","","","4.29 MB","16.22 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding",""
"      TextInputHost.exe","13176","","","73.06 MB","61.07 MB","","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp\TextInputHost.exe","""C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp\TextInputHost.exe"" -ServerName:InputApp.AppX9jnwykgrccxc8by3hsrsh07r423xzvav.mca","MicrosoftWindows.Client.CBS_120.2212.3920.0_x64__cw5n1h2txyewy"
"      unsecapp.exe","13668","","","2.77 MB","8.59 MB","Sink to receive asynchronous callbacks for WMI client application","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\wbem\unsecapp.exe","C:\WINDOWS\system32\wbem\unsecapp.exe -Embedding",""
"      RuntimeBroker.exe","14244","","","6.16 MB","25.59 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","Microsoft.Windows.ShellExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy"
"      APSDaemon.exe","4144","","","4.51 MB","15.79 MB","Apple Push","Apple Inc.","DESKTOP-83L081J\krysl","C:\Program Files\WindowsApps\AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa\iCloud\APSDaemon.exe","""C:\Program Files\WindowsApps\AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa\iCloud\APSDaemon.exe"" -Embedding","AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa"
"      secd.exe","11788","","","6.37 MB","21.8 MB","Apple Security Manager","Apple, Inc.","DESKTOP-83L081J\krysl","C:\Program Files\WindowsApps\AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa\iCloud\secd.exe","C:\Program Files\WindowsApps\AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa\iCloud\secd.exe -Embedding","AppleInc.iCloud_12.5.74.0_x86__nzyj5cx40ttqa"
"      ApplicationFrameHost.exe","5856","","","28.99 MB","33.92 MB","Application Frame Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe -Embedding",""
"      WinStore.App.exe","1400","","","121.76 MB","3.4 MB","Store","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe\WinStore.App.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe\WinStore.App.exe"" -ServerName:App.AppXc75wvwned5vhz4xyxxecvgdjhdkgsdza.mca","Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe"
"      MoUsoCoreWorker.exe","9340","","","28.6 MB","34.73 MB","MoUSO Core Worker Process","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\MoUsoCoreWorker.exe","C:\Windows\System32\mousocoreworker.exe -Embedding",""
"      RuntimeBroker.exe","8564","","","6.03 MB","24.06 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe"
"      SystemSettings.exe","13428","","","74.29 MB","2.01 MB","Settings","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","""C:\Windows\ImmersiveControlPanel\SystemSettings.exe"" -ServerName:microsoft.windows.immersivecontrolpanel","windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy"
"      Calculator.exe","9832","","","76.66 MB","30 MB","","","DESKTOP-83L081J\krysl","C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca","Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe"
"      RuntimeBroker.exe","12088","","","3.25 MB","15.68 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","Microsoft.WindowsCalculator_10.2103.8.0_x64__8wekyb3d8bbwe"
"      Video.UI.exe","12920","","","70.99 MB","5.97 MB","","","DESKTOP-83L081J\krysl","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.21092.10731.0_x64__8wekyb3d8bbwe\Video.UI.exe","""C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.21092.10731.0_x64__8wekyb3d8bbwe\Video.UI.exe"" -ServerName:Microsoft.ZuneVideo.AppX758ya5sqdjd98rx6z7g95nw6jy7bqx9y.mca","Microsoft.ZuneVideo_10.21092.10731.0_x64__8wekyb3d8bbwe"
"      RuntimeBroker.exe","11284","","","1.58 MB","7.11 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","Microsoft.ZuneVideo_10.21092.10731.0_x64__8wekyb3d8bbwe"
"      Microsoft.Photos.exe","16340","","","188.48 MB","45.52 MB","","","DESKTOP-83L081J\krysl","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21090.10007.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","""C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21090.10007.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe"" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca","Microsoft.Windows.Photos_2021.21090.10007.0_x64__8wekyb3d8bbwe"
"      RuntimeBroker.exe","16136","","128 B/s","90.29 MB","34.8 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","Microsoft.Windows.Photos_2021.21090.10007.0_x64__8wekyb3d8bbwe"
"      TXPlatform.exe","17028","","","4.03 MB","2.7 MB","腾讯QQ辅助进程","Tencent","DESKTOP-83L081J\krysl","D:\Program Files\Tencent\QQ\Bin\TXPlatform.exe","""D:\Program Files\Tencent\QQ\Bin\TXPlatform.exe"" -Embedding",""
"      dllhost.exe","17980","","","3.58 MB","10.87 MB","COM Surrogate","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\dllhost.exe","C:\WINDOWS\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F}",""
"      LockApp.exe","3396","","","67.08 MB","41.65 MB","LockApp.exe","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","""C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca","Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy"
"      RuntimeBroker.exe","7476","","","9.54 MB","29.04 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","Microsoft.LockApp_10.0.19041.1023_neutral__cw5n1h2txyewy"
"      dllhost.exe","18776","","","2.56 MB","9.89 MB","COM Surrogate","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\dllhost.exe","C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}",""
"      dllhost.exe","21132","","","1.99 MB","8.04 MB","COM Surrogate","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\SysWOW64\dllhost.exe","C:\WINDOWS\SysWOW64\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}",""
"      backgroundTaskHost.exe","18140","","","27.98 MB","54.11 MB","Background Task Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\backgroundTaskHost.exe","""C:\WINDOWS\system32\backgroundTaskHost.exe"" -ServerName:App.AppXnme9zjyebb2xnyygh6q9ev6p5d234br2.mca","Microsoft.Todos_2.55.42812.0_x64__8wekyb3d8bbwe"
"      RuntimeBroker.exe","21052","","","3.14 MB","16.67 MB","Runtime Broker","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe -Embedding","Microsoft.Todos_2.55.42812.0_x64__8wekyb3d8bbwe"
"      dllhost.exe","412","","","4.53 MB","24.77 MB","COM Surrogate","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\dllhost.exe","C:\WINDOWS\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5}",""
"    svchost.exe","712","0.06","","17.23 MB","18.34 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k RPCSS -p",""
"    svchost.exe","1048","","","3.06 MB","7.78 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM",""
"    svchost.exe","1300","","","4.07 MB","10.1 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k NetworkService -s TermService",""
"    svchost.exe","1392","","","1.16 MB","3.23 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s HvHost",""
"    svchost.exe","1432","","","2.96 MB","10.16 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s bthserv",""
"    svchost.exe","1440","","","2.06 MB","10.76 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s BthAvctpSvc",""
"    svchost.exe","1448","","","1.94 MB","6.57 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -s BTAGService",""
"    svchost.exe","1556","","","2.24 MB","11.07 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc",""
"    svchost.exe","1628","","","16.31 MB","12.52 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s EventLog",""
"    svchost.exe","1680","","","7.08 MB","14.06 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s Schedule",""
"      helperservice.exe","2324","","","1.54 MB","1.36 MB","Free Download Manager","Softdeluxe","NT AUTHORITY\SYSTEM","D:\Program Files\Free Download Manager\helperservice.exe","""D:\Program Files\Free Download Manager\helperservice.exe""",""
"        conhost.exe","4612","","","6.54 MB","1.01 MB","Console Window Host","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4",""
"      taskhostw.exe","2756","0.20","664 B/s","7.54 MB","18.03 MB","Host Process for Windows Tasks","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\taskhostw.exe","taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E}",""
"      PowerToys.exe","6596","","","6.77 MB","3.04 MB","PowerToys Runner","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Program Files\PowerToys\PowerToys.exe","""C:\Program Files\PowerToys\PowerToys.exe""",""
"        ColorPickerUI.exe","9856","","","36.02 MB","1.89 MB","ColorPickerUI","ColorPickerUI","DESKTOP-83L081J\krysl","C:\Program Files\PowerToys\modules\ColorPicker\ColorPickerUI.exe","""C:\Program Files\PowerToys\modules\ColorPicker\ColorPickerUI.exe"" 6596",""
"        PowerToys.FancyZones.exe","10364","0.05","","195.72 MB","2.11 MB","PowerToys FancyZones","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Program Files\PowerToys\modules\FancyZones\PowerToys.FancyZones.exe","""C:\Program Files\PowerToys\modules\FancyZones\PowerToys.FancyZones.exe"" 6596",""
"        PowerToys.KeyboardManagerEngine.exe","10396","","","15.84 MB","1.13 MB","PowerToys Keyboard Manager Engine","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Program Files\PowerToys\modules\KeyboardManager\KeyboardManagerEngine\PowerToys.KeyboardManagerEngine.exe","""C:\Program Files\PowerToys\modules\KeyboardManager\KeyboardManagerEngine\PowerToys.KeyboardManagerEngine.exe"" 6596",""
"      taskhostw.exe","9936","","","4.64 MB","16.79 MB","Host Process for Windows Tasks","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\taskhostw.exe","taskhostw.exe",""
"      VSIXAutoUpdate.exe","19152","","","32.68 MB","5.74 MB","","","NT AUTHORITY\SYSTEM","C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\VSIXAutoUpdate.exe","""C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\VSIXAutoUpdate.exe""",""
"        conhost.exe","3364","","","6.59 MB","1.01 MB","Console Window Host","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4",""
"    svchost.exe","1772","","","1.66 MB","4.81 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s hidserv",""
"    svchost.exe","1780","","","2.02 MB","5.52 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s EventSystem",""
"    svchost.exe","1832","","","1.79 MB","6.3 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s NgcSvc",""
"    svchost.exe","1848","","","3.93 MB","12.67 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s ProfSvc",""
"    svchost.exe","1980","","","2.25 MB","8 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s SENS",""
"    svchost.exe","816","","","3 MB","9.28 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager",""
"      sihost.exe","9160","","","9.2 MB","30.39 MB","Shell Infrastructure Host","Microsoft Corporation","DESKTOP-83L081J\krysl","C:\Windows\System32\sihost.exe","sihost.exe",""
"    svchost.exe","1224","","","1.95 MB","6.11 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s PhoneSvc",""
"    svchost.exe","2116","","","7.31 MB","5.41 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi",""
"    PresentationFontCache.exe","2196","","","23.71 MB","17.08 MB","PresentationFontCache.exe","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\Microsoft.NET\Framework64\v3.0\WPF\PresentationFontCache.exe","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe",""
"    ekrn.exe","2228","0.07","2.93 kB/s","172.09 MB","233.55 MB","ESET Service","ESET","NT AUTHORITY\SYSTEM","D:\Program Files\ESET\ESET Security\Main\ekrn.exe","""D:\Program Files\ESET\ESET Security\Main\ekrn.exe""",""
"      eguiProxy.exe","12652","","","5.46 MB","12.52 MB","ESET Proxy GUI","ESET","DESKTOP-83L081J\krysl","D:\Program Files\ESET\ESET Security\Main\eguiProxy.exe","""D:\Program Files\ESET\ESET Security\Main\eguiproxy.exe"" /hide",""
"    svchost.exe","2300","","","1.59 MB","4 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork -p",""
"    svchost.exe","2404","","","1.71 MB","5.84 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s UmRdpService",""
"    svchost.exe","2428","","","2.46 MB","9.33 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p",""
"    svchost.exe","2516","","","1.96 MB","6.83 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k netsvcs -s CertPropSvc",""
"    svchost.exe","2540","","","1.89 MB","6.2 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DeviceAssociationService",""
"      dasHost.exe","2036","","","1.09 MB","3.02 MB","Device Association Framework Provider Host","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\dasHost.exe","dashost.exe {7509e0cd-1bfb-44eb-8d308c97cff200b2}",""
"    NVDisplay.Container.exe","2620","0.11","","5.08 MB","14.41 MB","NVIDIA Container","NVIDIA Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_5d5c294bb8d17217\Display.NvContainer\NVDisplay.Container.exe","C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_5d5c294bb8d17217\Display.NvContainer\NVDisplay.Container.exe -s NVDisplay.ContainerLocalSystem -f C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log -l 3 -d C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_5d5c294bb8d17217\Display.NvContainer\plugins\LocalSystem -r -p 30000 -cfg NVDisplay.ContainerLocalSystem\LocalSystem",""
"      NVDisplay.Container.exe","2560","0.48","4.16 kB/s","69.34 MB","48.21 MB","NVIDIA Container","NVIDIA Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_5d5c294bb8d17217\Display.NvContainer\NVDisplay.Container.exe","""C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_5d5c294bb8d17217\Display.NvContainer\NVDisplay.Container.exe"" -f %ProgramData%\NVIDIA\DisplaySessionContainer%d.log -d C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_5d5c294bb8d17217\Display.NvContainer\plugins\Session -r -l 3 -p 30000 -cfg NVDisplay.ContainerLocalSystem\Session -c",""
"    svchost.exe","2648","","","1.48 MB","4.75 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc",""
"    svchost.exe","2676","","","2.07 MB","6.14 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\NETWORK SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k NetworkService -p -s LanmanWorkstation",""
"    svchost.exe","2732","","","3.18 MB","12.96 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain",""
"    svchost.exe","2740","","","1.33 MB","4.17 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes",""
"    svchost.exe","2800","","","2.93 MB","6.34 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\SYSTEM","C:\Windows\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s AudioEndpointBuilder",""
"    svchost.exe","2808","","","2.47 MB","9.51 MB","Host Process for Windows Services","Microsoft Corporation","NT AUTHORITY\LOCAL SERVICE","C:\Windows\System32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s FontCache",""
